"anio","mes","cuenta","importe","anavertical","target"
"2015","7","4","-141911.46","-0.0491","1"
"2015","7","5","-371953.48","-0.1286","1"
"2015","7","6","-176796.89","-0.0611","1"
"2015","7","7","-671435.78","-0.2322","2"
"2015","7","8","-5811.47","-0.0020","1"
"2015","7","9","-8943.96","-0.0031","1"
"2015","7","10","17806.59","0.0062","2"
"2015","7","11","335177.06","0.1159","1"
"2015","8","1","2747961.99","1.0000","1"
"2015","8","2","-1195697.32","-0.4351","1"
"2015","8","3","1552264.67","0.5649","1"
"2015","8","4","-100822.09","-0.0367","1"
"2015","8","5","-404306.7","-0.1471","1"
"2015","8","6","-193018.31","-0.0702","1"
"2015","8","7","-615753.3","-0.2241","1"
"2015","8","8","-1793.09","-0.0007","1"
"2015","8","9","-5898.23","-0.0021","1"
"2015","8","10","19791.34","0.0072","2"
"2015","8","11","250464.29","0.0911","1"
"2015","9","1","2880130.93","1.0000","1"
"2015","9","2","-1172236.32","-0.4070","1"
"2015","9","3","1707894.61","0.5930","1"
"2015","9","4","-120603.13","-0.0419","1"
"2015","9","5","-402751.51","-0.1398","1"
"2015","9","6","-207186.57","-0.0719","1"
"2015","9","7","-630170.1","-0.2188","1"
"2015","9","8","-1388.01","-0.0005","1"
"2015","9","9","-13183.24","-0.0046","1"
"2015","9","10","23176.64","0.0080","2"
"2015","9","11","355788.69","0.1235","1"
"2015","10","1","3347291.12","1.0000","1"
"2015","10","2","-1462207.37","-0.4368","1"
"2015","10","3","1885083.75","0.5632","1"
"2015","10","4","-99464.08","-0.0297","1"
"2015","10","5","-411258.23","-0.1229","1"
"2015","10","6","-198319.21","-0.0592","1"
"2015","10","7","-600367.93","-0.1794","1"
"2015","10","8","-136","-0.0000","1"
"2015","10","9","-3426.49","-0.0010","1"
"2015","10","10","5671.93","0.0017","3"
"2015","10","11","577783.74","0.1726","1"
"2015","11","1","3805460.54","1.0000","1"
"2015","11","2","-1665164.77","-0.4376","1"
"2015","11","3","2140295.77","0.5624","1"
"2015","11","4","-115979.32","-0.0305","1"
"2015","11","5","-482591.62","-0.1268","1"
"2015","11","6","-203685.37","-0.0535","1"
"2015","11","7","-616716.6","-0.1621","1"
"2015","11","8","-7956.93","-0.0021","1"
"2015","11","9","-6503.84","-0.0017","1"
"2015","11","10","15529.39","0.0041","3"
"2015","11","11","722391.48","0.1898","1"
"2015","12","1","3239340.44","1.0000","1"
"2015","12","2","-1527512.23","-0.4716","3"
"2015","12","3","1711828.21","0.5284","3"
"2015","12","4","-182709.17","-0.0564","2"
